sample_id,label,label_coarse,n_particles,pattern_params,seed_offset
sample_000000,C11_Hotspot_Elliptic,,1308,"{""center_angle"": ""random"", ""center_angle_rad"": 1.065526659222438, ""center_radius_ratio"": 0.8254516193837118, ""mode"": ""random"", ""n_particles"": 1308, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 1.6624464611624332, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.043266375750092616, ""sigma_y_ratio"": 0.0674377829587381, ""wafer_radius_mm"": 150.0}",0
sample_000001,C03_Ring,,1312,"{""n_particles"": 1312, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7905384739005281, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03209641104169797}",1
sample_000002,C04_Sector_Edge,,1060,"{""angle_center_rad"": 2.1564733001202536, ""angle_width_deg"": 81.63952617058683, ""edge_width_ratio"": 0.07783816180216176, ""n_particles"": 1060, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.2488101271399186, ""radial_beta_beta"": 1.8901141161406156, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.986559656810051, ""wafer_radius_mm"": 150.0}",2
sample_000003,C01_Uniform,,1329,"{""n_particles"": 1329, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",3
sample_000004,C03_Ring,,1340,"{""n_particles"": 1340, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6423934996849144, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.1722489580019162}",4
sample_000005,C03_Ring,,846,"{""n_particles"": 846, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.4581632475965643, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.042528296031687174}",5
sample_000006,C11_Hotspot_Elliptic,,1009,"{""center_angle"": ""random"", ""center_angle_rad"": 2.0674483428095374, ""center_radius_ratio"": 0.4197093709675598, ""mode"": ""random"", ""n_particles"": 1009, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 3.4859738492193797, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.04595028775668569, ""sigma_y_ratio"": 0.07349905296727699, ""wafer_radius_mm"": 150.0}",6
sample_000007,C04_Sector_Edge,,1371,"{""angle_center_rad"": 0.535358858318839, ""angle_width_deg"": 42.312971094026345, ""edge_width_ratio"": 0.25167546284668474, ""n_particles"": 1371, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.8913324877686915, ""radial_beta_beta"": 3.2269675720904694, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.512733405572599, ""wafer_radius_mm"": 150.0}",7
sample_000008,C07_StraightLine,,1430,"{""angle_deg"": 3.683617072683858, ""n_particles"": 1430, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.07182136431260125, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.30752237538573013, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03760966828093387}",8
sample_000009,C03_Ring,,700,"{""n_particles"": 700, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6380139921749444, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.13166559619863447}",9
sample_000010,C03_Ring,,1019,"{""n_particles"": 1019, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.4647129482328593, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.17976932878147064}",10
sample_000011,C04_Sector_Edge,,661,"{""angle_center_rad"": 4.6597239052592565, ""angle_width_deg"": 48.02012546367307, ""edge_width_ratio"": 0.11262191279343108, ""n_particles"": 661, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.9803213252217486, ""radial_beta_beta"": 3.3763419085066726, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 1.817937401372628, ""wafer_radius_mm"": 150.0}",11
sample_000012,C03_Ring,,548,"{""n_particles"": 548, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.46157154271899004, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.0355306763863856}",12
sample_000013,C04_Sector_Edge,,989,"{""angle_center_rad"": 4.881412342990255, ""angle_width_deg"": 57.688044991917124, ""edge_width_ratio"": 0.28487255254199306, ""n_particles"": 989, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.978493475886707, ""radial_beta_beta"": 3.460446235927251, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 7.343302213877031, ""wafer_radius_mm"": 150.0}",13
sample_000014,C11_Hotspot_Elliptic,,1287,"{""center_angle"": ""random"", ""center_angle_rad"": 5.727177855255214, ""center_radius_ratio"": 0.5429574073517807, ""mode"": ""random"", ""n_particles"": 1287, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 2.862115888843627, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.04286007752006189, ""sigma_y_ratio"": 0.06456195384485988, ""wafer_radius_mm"": 150.0}",14
sample_000015,C11_Hotspot_Elliptic,,586,"{""center_angle"": ""random"", ""center_angle_rad"": 2.555794829969805, ""center_radius_ratio"": 0.4407690071225099, ""mode"": ""random"", ""n_particles"": 586, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 0.09090381532481441, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.1106079850613711, ""sigma_y_ratio"": 0.0456935631366381, ""wafer_radius_mm"": 150.0}",15
sample_000016,C03_Ring,,1387,"{""n_particles"": 1387, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7814391028597834, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.16760185213724102}",16
sample_000017,scratch_horizontal,line,1010,"{""angle_category"": ""horizontal"", ""length_ratio"": 1.0, ""n_particles"": 1010, ""name"": ""wafer_particles.pattern.scratch"", ""offset_ratio"": 0.0, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.01}",17
sample_000018,C03_Ring,,1505,"{""n_particles"": 1505, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.8988961144000069, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.16083881596919172}",18
sample_000019,C07_StraightLine,,964,"{""angle_deg"": 154.7786786961743, ""n_particles"": 964, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.20579060171916425, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.6968868263884709, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.020627044824653176}",19
