sample_id,label,n_particles,pattern_params,seed_offset
sample_000000,C07_StraightLine,1308,"{""angle_deg"": 26.532751500185235, ""n_particles"": 1308, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.2503010795891412, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.792323853932041, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.016906395736383344}",0
sample_000001,C03_Ring,1312,"{""n_particles"": 1312, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7905384739005281, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03209641104169797}",1
sample_000002,C03_Ring,1060,"{""n_particles"": 1060, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.5716066926799154, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.17850163872436617}",2
sample_000003,C01_Uniform,1329,"{""n_particles"": 1329, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",3
sample_000004,C01_Uniform,1340,"{""n_particles"": 1340, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",4
sample_000005,C01_Uniform,846,"{""n_particles"": 846, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",5
sample_000006,C07_StraightLine,1009,"{""angle_deg"": 31.90057551337139, ""n_particles"": 1009, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.020193752688293487, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.8442775968623744, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.02996644863165556}",6
sample_000007,C04_Sector_Edge,1371,"{""angle_center_rad"": 0.535358858318839, ""angle_width_deg"": 42.312971094026345, ""edge_width_ratio"": 0.25167546284668474, ""n_particles"": 1371, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.8913324877686915, ""radial_beta_beta"": 3.2269675720904694, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.512733405572599, ""wafer_radius_mm"": 150.0}",7
sample_000008,C07_StraightLine,1430,"{""angle_deg"": 3.683617072683858, ""n_particles"": 1430, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.07182136431260125, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.30752237538573013, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03760966828093387}",8
sample_000009,C03_Ring,700,"{""n_particles"": 700, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6380139921749444, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.13166559619863447}",9
sample_000010,C01_Uniform,1019,"{""n_particles"": 1019, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",10
sample_000011,C03_Ring,661,"{""n_particles"": 661, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7708090464827406, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.09205175119230219}",11
sample_000012,C03_Ring,548,"{""n_particles"": 548, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.46157154271899004, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.0355306763863856}",12
sample_000013,C04_Sector_Edge,989,"{""angle_center_rad"": 4.881412342990255, ""angle_width_deg"": 57.688044991917124, ""edge_width_ratio"": 0.28487255254199306, ""n_particles"": 989, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.978493475886707, ""radial_beta_beta"": 3.460446235927251, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 7.343302213877031, ""wafer_radius_mm"": 150.0}",13
sample_000014,C07_StraightLine,1287,"{""angle_deg"": 25.720155040123792, ""n_particles"": 1287, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.06197160490118714, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.767673890098799, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.025498395113509265}",14
sample_000015,C11_Hotspot_Elliptic,586,"{""center_angle"": ""random"", ""center_angle_rad"": 2.555794829969805, ""center_radius_ratio"": 0.4407690071225099, ""mode"": ""random"", ""n_particles"": 586, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 0.09090381532481441, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.1106079850613711, ""sigma_y_ratio"": 0.0456935631366381, ""wafer_radius_mm"": 150.0}",15
sample_000016,C03_Ring,1387,"{""n_particles"": 1387, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.7814391028597834, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.16760185213724102}",16
