sample_id,split,label,n_particles
sample_000000,train,C07_StraightLine,109
sample_000001,train,C04_Sector_Edge,110
sample_000002,train,C04_Sector_Edge,78
sample_000003,train,C01_Uniform,181
sample_000004,train,C02_EdgeBiased,113
sample_000005,train,C02_EdgeBiased,164
sample_000006,train,C08_CurvedScratch,72
sample_000007,train,C05_Sector_Internal,117
sample_000008,train,C07_StraightLine,173
sample_000009,train,C04_Sector_Edge,33
sample_000010,train,C02_EdgeBiased,73
sample_000011,train,C04_Sector_Edge,147
sample_000012,train,C04_Sector_Edge,14
sample_000013,train,C05_Sector_Internal,69
sample_000014,train,C08_CurvedScratch,106
sample_000015,val,C09_Spiral,19
sample_000016,test,C03_Ring,119
sample_000017,test,C10_Hotspot_Iso,72
sample_000018,train,C03_Ring,173
sample_000019,train,C06_RadialLines,66
sample_000020,train,C08_CurvedScratch,22
sample_000021,train,C01_Uniform,35
sample_000022,train,C04_Sector_Edge,193
sample_000023,train,C05_Sector_Internal,136
sample_000024,train,C07_StraightLine,146
sample_000025,val,C10_Hotspot_Iso,73
sample_000026,test,C08_CurvedScratch,104
sample_000027,train,C03_Ring,165
sample_000028,train,C08_CurvedScratch,112
sample_000029,train,C01_Uniform,20
sample_000030,train,C09_Spiral,107
sample_000031,train,C02_EdgeBiased,92
sample_000032,test,C09_Spiral,57
sample_000033,train,C07_StraightLine,31
sample_000034,test,C08_CurvedScratch,164
sample_000035,test,C05_Sector_Internal,146
sample_000036,train,C09_Spiral,70
sample_000037,train,C09_Spiral,178
sample_000038,train,C02_EdgeBiased,166
sample_000039,train,C06_RadialLines,172
sample_000040,val,C07_StraightLine,132
sample_000041,train,C03_Ring,84
sample_000042,train,C04_Sector_Edge,178
sample_000043,train,C02_EdgeBiased,176
sample_000044,train,C01_Uniform,18
sample_000045,train,C06_RadialLines,33
sample_000046,train,C03_Ring,142
sample_000047,train,C08_CurvedScratch,144
sample_000048,val,C07_StraightLine,44
sample_000049,train,C08_CurvedScratch,156
sample_000050,train,C01_Uniform,69
sample_000051,train,C06_RadialLines,99
sample_000052,train,C10_Hotspot_Iso,81
sample_000053,test,C07_StraightLine,169
sample_000054,train,C05_Sector_Internal,169
sample_000055,train,C01_Uniform,123
sample_000056,train,C05_Sector_Internal,93
sample_000057,train,C02_EdgeBiased,157
sample_000058,val,C03_Ring,49
sample_000059,train,C08_CurvedScratch,25
sample_000060,train,C08_CurvedScratch,164
sample_000061,train,C08_CurvedScratch,17
sample_000062,train,C05_Sector_Internal,15
sample_000063,val,C07_StraightLine,145
sample_000064,train,C01_Uniform,179
sample_000065,train,C04_Sector_Edge,91
sample_000066,train,C06_RadialLines,161
sample_000067,train,C04_Sector_Edge,13
sample_000068,train,C09_Spiral,160
sample_000069,train,C04_Sector_Edge,38
sample_000070,train,C09_Spiral,181
sample_000071,train,C07_StraightLine,188
sample_000072,train,C01_Uniform,99
