sample_id,label,size_model,size_params_json,n_particles,pattern_params,seed_offset
sample_000000,C02_EdgeBiased,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -2.344353836431516, ""per_sample"": true, ""sigma_log"": 0.47343893698742273}",89,"{""edge_bias"": 2.397434763426185, ""n_particles"": 89, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",0
sample_000001,C05_Sector_Internal,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -0.8977782140933077, ""per_sample"": true, ""sigma_log"": 0.5760774654197588}",142,"{""angle_center_rad"": 3.5157939314651396, ""angle_width_deg"": 73.14453923343802, ""edge_margin_norm"": 0.05, ""n_particles"": 142, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.39073741658605304, ""r_outer_ratio"": 0.6465972765973643, ""radial_beta_alpha"": 3.6263920250688875, ""radial_beta_beta"": 3.8043236040712607, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 6.650549428650901, ""wafer_radius_mm"": 150.0}",1
sample_000002,C04_Sector_Edge,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -0.980335467922604, ""per_sample"": true, ""sigma_log"": 0.8698800481954367}",151,"{""angle_center_rad"": 4.36981873657073, ""angle_width_deg"": 53.04431580763546, ""edge_width_ratio"": 0.21175648039251826, ""n_particles"": 151, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 3.5486207903715625, ""radial_beta_beta"": 2.320627103691759, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 8.632664530505364, ""wafer_radius_mm"": 150.0}",2
sample_000003,C11_Hotspot_Elliptic,weibull,"{""k"": 2.1607409180551236, ""lambda_um"": 0.44273408245094115, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",92,"{""center_angle"": ""random"", ""center_angle_rad"": 1.8953382032881483, ""center_radius_ratio"": 0.009440573653651474, ""mode"": ""random"", ""n_particles"": 92, ""name"": ""wafer_particles.pattern.C11_Hotspot_Elliptic"", ""rotation_deg"": 30.0, ""rotation_rad"": 0.5836723030250839, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_x_ratio"": 0.09468722363672516, ""sigma_y_ratio"": 0.05218206457236788, ""wafer_radius_mm"": 150.0}",3
sample_000004,C07_StraightLine,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.6884727250143329, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.09903911536456747}",176,"{""angle_deg"": 118.05372209580007, ""n_particles"": 176, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.23993145411329986, ""params"": {""segment_half_length_norm"": 0.25890022123282064, ""width_norm"": 0.045254861277135246}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.4874413653343101, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03741462343960099}",4
sample_000005,C08_CurvedScratch,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.4894289920786492, ""per_sample"": true, ""sigma_log"": 0.8642524068580983}",151,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 0.20018672822124867, ""arc_radius_ratio"": 0.5544527203868139, ""n_particles"": 151, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.8895514405013043, ""span_rad"": 0.7041832788586886, ""width_norm"": 0.04469206851688388}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 83.85417558201534, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03545888046836496}",5
sample_000006,C06_RadialLines,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.568399782227869, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.08573063191980303}",98,"{""angular_jitter_deg"": 2.6288572017194856, ""n_lines"": 8, ""n_particles"": 98, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 7.0, ""r_max_norm"": 0.9365221404210529, ""r_min_norm"": 0.18952971544701835, ""sigma_perp_norm"": 0.029622469707057827}, ""r_max_ratio"": 0.7806329771958084, ""r_min_ratio"": 0.19473812401980395, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.003778927671073822, ""wafer_radius_mm"": 150.0}",6
sample_000007,C06_RadialLines,weibull,"{""k"": 2.4178858694957026, ""lambda_um"": 0.4208871381139043, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",96,"{""angular_jitter_deg"": 2.0661617338309797, ""n_lines"": 4, ""n_particles"": 96, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 3.0, ""r_max_norm"": 0.7839418299340807, ""r_min_norm"": 0.0973017335845709, ""sigma_perp_norm"": 0.05132817155209497}, ""r_max_ratio"": 0.9700433702845284, ""r_min_ratio"": 0.02729514020176319, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.010049371205087473, ""wafer_radius_mm"": 150.0}",7
sample_000008,C07_StraightLine,pareto,"{""alpha"": 3.9686945301560166, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.2672809042996579}",96,"{""angle_deg"": 159.69932639835477, ""n_particles"": 96, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": 0.23300961543580595, ""params"": {""segment_half_length_norm"": 0.18957318157726533, ""width_norm"": 0.038926516566453385}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.8659268828945177, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.006488813373384441}",8
sample_000009,C05_Sector_Internal,weibull,"{""k"": 2.5336226536605246, ""lambda_um"": 0.14994718723679515, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",157,"{""angle_center_rad"": 1.8931188565785306, ""angle_width_deg"": 51.58996374145565, ""edge_margin_norm"": 0.05, ""n_particles"": 157, ""name"": ""wafer_particles.pattern.C05_Sector_Internal"", ""r_inner_ratio"": 0.13379848929015636, ""r_outer_ratio"": 0.6371080128171649, ""radial_beta_alpha"": 2.000231728237954, ""radial_beta_beta"": 3.59402622364823, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""theta_vonmises_kappa"": 7.063396008698205, ""wafer_radius_mm"": 150.0}",9
