sample_id,label,size_model,size_params_json,label_coarse,label_family,n_particles,pattern_params,seed_offset
sample_000000,C08_CurvedScratch,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.2626013211924416, ""per_sample"": true, ""sigma_log"": 0.3391054655859305}",,,109,"{""angle_center_deg"": 0.0, ""angle_center_rad"": 5.762739429665927, ""arc_radius_ratio"": 0.47370208750051457, ""n_particles"": 109, ""name"": ""wafer_particles.pattern.C08_CurvedScratch"", ""params"": {""arc_radius_norm"": 0.48479191740572225, ""span_rad"": 0.6998196767391152, ""width_norm"": 0.06144760562247613}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""span_deg"": 136.6701683519422, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.023229328595981494}",0
sample_000001,C04_Sector_Edge,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.11991074636134808, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.0671773309195533}",,,110,"{""angle_center_rad"": 4.907651202200273, ""angle_width_deg"": 24.704159849549207, ""edge_width_ratio"": 0.26632616525976965, ""n_particles"": 110, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 2.4044616018347282, ""radial_beta_beta"": 1.1522240656891678, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 6.5852766864015955, ""wafer_radius_mm"": 150.0}",1
sample_000002,C04_Sector_Edge,weibull,"{""k"": 2.9166779778471446, ""lambda_um"": 0.31134381453875526, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,78,"{""angle_center_rad"": 2.1564733001202536, ""angle_width_deg"": 81.63952617058683, ""edge_width_ratio"": 0.07783816180216176, ""n_particles"": 78, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.2488101271399186, ""radial_beta_beta"": 1.8901141161406156, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 5.986559656810051, ""wafer_radius_mm"": 150.0}",2
sample_000003,C01_Uniform,pareto,"{""alpha"": 3.418236653700826, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true, ""xm_um"": 0.1975207290973786}",,,181,"{""n_particles"": 181, ""name"": ""wafer_particles.pattern.C01_Uniform"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",3
sample_000004,C03_Ring,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.24672649634511967, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.04586843303917913}",,,113,"{""n_particles"": 113, ""name"": ""wafer_particles.pattern.C03_Ring"", ""radius_ratio"": 0.6423934996849144, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.1722489580019162}",4
sample_000005,C02_EdgeBiased,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -3.349164585899246, ""per_sample"": true, ""sigma_log"": 0.3860656308131799}",,,164,"{""edge_bias"": 1.52571418654076, ""n_particles"": 164, ""name"": ""wafer_particles.pattern.C02_EdgeBiased"", ""schema_version"": ""wafer_particles.pattern_config.v1"", ""wafer_radius_mm"": 150.0}",5
sample_000006,C09_Spiral,lognormal,"{""max_um"": 1.0, ""min_um"": 0.01, ""mu_log"": -1.2847277064103673, ""per_sample"": true, ""sigma_log"": 0.6561895668101116}",,,72,"{""end_r_ratio"": 0.8664429908777037, ""n_particles"": 72, ""name"": ""wafer_particles.pattern.C09_Spiral"", ""params"": {""theta_max"": 18.768716054245864, ""width_norm"": 0.04592756323983834}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""start_r_ratio"": 0.2721387984311871, ""theta_max"": 8.51026561113723, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.025985468548377993}",6
sample_000007,C06_RadialLines,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.7660651737241552, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.09775089373185696}",,,117,"{""angular_jitter_deg"": 1.5937836495733104, ""n_lines"": 6, ""n_particles"": 117, ""name"": ""wafer_particles.pattern.C06_RadialLines"", ""params"": {""n_lines"": 8.0, ""r_max_norm"": 0.9680347960335216, ""r_min_norm"": 0.267378743912945, ""sigma_perp_norm"": 0.017880546563986605}, ""r_max_ratio"": 0.8110624591820041, ""r_min_ratio"": 0.24201055541602168, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""sigma_perp_ratio"": 0.028952134703483807, ""wafer_radius_mm"": 150.0}",7
sample_000008,C07_StraightLine,weibull,"{""k"": 1.50759270043769, ""lambda_um"": 0.4444645592746632, ""max_um"": 1.0, ""min_um"": 0.01, ""per_sample"": true}",,,173,"{""angle_deg"": 3.683617072683858, ""n_particles"": 173, ""name"": ""wafer_particles.pattern.C07_StraightLine"", ""offset_ratio"": -0.07182136431260125, ""params"": {""segment_half_length_norm"": 0.19984468560733776, ""width_norm"": 0.0595138173688594}, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""segment_half_length_ratio"": 0.30752237538573013, ""wafer_radius_mm"": 150.0, ""width_ratio"": 0.03760966828093387}",8
sample_000009,C04_Sector_Edge,gaussian,"{""max_um"": 1.0, ""mean_um"": 0.24907618189664912, ""min_um"": 0.01, ""per_sample"": true, ""std_um"": 0.07073801851717693}",,,33,"{""angle_center_rad"": 2.9909720370735347, ""angle_width_deg"": 63.42550963280228, ""edge_width_ratio"": 0.2261924086731859, ""n_particles"": 33, ""name"": ""wafer_particles.pattern.C04_Sector_Edge"", ""radial_beta_alpha"": 1.727454487746284, ""radial_beta_beta"": 0.8345694571102185, ""schema_version"": ""wafer_particles.pattern_config.v1"", ""side"": ""right"", ""theta_vonmises_kappa"": 2.031592559410441, ""wafer_radius_mm"": 150.0}",9
